model,landscape,replicate,cv_fold,sequence_length,data_split,pearson_r,r2,mse
blstm,k3,r2,0,10,test,0.05876575502081734,-0.019144415855407715,0.02004804015159607
blstm,k3,r2,0,50,train,0.041042786298844294,-0.004850268363952637,0.02018602437486774
blstm,k3,r2,0,50,test,0.04408021340560053,-0.004543304443359375,0.019775587320327758
blstm,k3,r2,0,100,train,0.02713213336456148,-0.003604412078857422,0.020162163792472137
blstm,k3,r2,0,100,test,0.029378725959970722,-0.0037878751754760742,0.019778820127248763
blstm,k3,r2,0,200,train,-0.018181758169681705,-0.015410780906677246,0.020436754148151423
blstm,k3,r2,0,200,test,-0.019956160420642632,-0.015516042709350586,0.01981124822050333
blstm,k3,r2,0,250,train,0.01486571956886129,-0.02324986457824707,0.020590970040978613
blstm,k3,r2,0,250,test,0.006322074035760128,-0.024208426475524902,0.02022982146590948
blstm,k3,r2,0,500,train,0.0493479814758693,-0.013797402381896973,0.020401161063361813
blstm,k3,r2,0,500,test,0.04033018627015472,-0.014837503433227539,0.020015926472842692
blstm,k4,r5,0,10,train,0.013753273977275498,-0.0023365020751953125,0.0209378752073175
blstm,k4,r5,0,10,test,-0.00802926221653244,-0.004552125930786133,0.02067672647535801
blstm,k4,r5,0,50,train,0.01342686174560998,-0.009192705154418945,0.021087692364266043
blstm,k4,r5,0,50,test,0.009977607075147887,-0.010614871978759766,0.02080640532076359
blstm,k4,r5,0,100,train,0.02817468154000436,-0.04509627819061279,0.02184271518337099
blstm,k4,r5,0,100,test,0.016638449335931726,-0.048978209495544434,0.021598507463932038
blstm,k4,r5,0,200,train,0.00043606794041879844,-0.1060107946395874,0.023086183880631987
blstm,k4,r5,0,200,test,-0.003714242244683419,-0.10282456874847412,0.022665402479469778
blstm,k4,r5,0,250,train,0.010773168365393933,-0.00020956993103027344,0.020881622626974777
blstm,k4,r5,0,250,test,0.0031548233533529313,-6.282329559326172e-05,0.020495370775461198
blstm,k4,r5,0,500,train,-0.0014944995615509809,-0.12726974487304688,0.023529488190605834
blstm,k4,r5,0,500,test,0.0026856343532556393,-0.12388491630554199,0.023104905523359774
blstm,k4,r4,0,10,train,0.027710044827881267,0.00035816431045532227,0.018585084202258212
blstm,k4,r4,0,10,test,0.0185406863571754,-0.0008394718170166016,0.018635065853595735
blstm,k4,r4,0,50,train,0.03517153748787435,-0.005799770355224609,0.01870095151427545
blstm,k4,r4,0,50,test,0.008258426310699507,-0.01180410385131836,0.018844379112124443
blstm,k4,r4,0,100,train,0.014928124259740161,-0.009206414222717285,0.018755782787737093
blstm,k4,r4,0,100,test,0.00730209666453796,-0.004404902458190918,0.018697333335876466
blstm,k4,r4,0,200,train,0.003268892076525587,-0.0004419088363647461,0.018650244820762326
blstm,k4,r4,0,200,test,-0.0011535615794429077,-9.930133819580078e-05,0.018673034943640233
blstm,k4,r4,0,250,train,0.007367732185839637,-0.00932931900024414,0.018818045689447505
blstm,k4,r4,0,250,test,-0.0022970443161058895,-0.0163266658782959,0.018948355317115785
blstm,k4,r4,0,500,train,0.004387793208310398,-0.00042247772216796875,0.018650537105025473
blstm,k4,r4,0,500,test,-0.009105413863840672,-0.0026820898056030273,0.018711787275969984
blstm,k4,r7,0,10,train,0.005246448201019133,-0.14459586143493652,0.021436739516885656
blstm,k4,r7,0,10,test,0.010742831768968675,-0.15125668048858643,0.021282578259706496
blstm,k4,r7,0,50,train,0.011098640274964345,-0.0026859045028686523,0.018766557601721662
blstm,k4,r7,0,50,test,0.006887237817734482,-0.003577589988708496,0.018565785139799118
blstm,k4,r7,0,100,train,0.013988528966040858,-0.002093672752380371,0.018751174603637896
blstm,k4,r7,0,100,test,0.004365652404299425,-0.0016398429870605469,0.018538300693035126
blstm,k4,r7,0,200,train,-0.010676965489027412,-0.0002830028533935547,0.018736434597018604
blstm,k4,r7,0,200,test,0.008602032566089823,-8.52346420288086e-05,0.018475341238081457
blstm,k4,r7,0,250,train,0.01191291779217285,-0.003947257995605469,0.01880604063941015
blstm,k4,r7,0,250,test,0.03511407998223193,-0.005006551742553711,0.018556912243366242
blstm,k4,r7,0,500,train,0.017062986807064084,-0.04087042808532715,0.019494845607393497
blstm,k4,r7,0,500,test,0.001687187107418886,-0.03829061985015869,0.019207159616053106
blstm,k4,r2,0,10,train,0.01505816038711523,-0.03321826457977295,0.019294168015843945
blstm,k4,r2,0,10,test,0.01264169276011995,-0.033785462379455566,0.019329051673412322
blstm,k4,r2,0,50,train,0.020532192327952753,-0.023419857025146484,0.01910891638774621
blstm,k4,r2,0,50,test,0.029088719168543012,-0.02356696128845215,0.019138928130269052
blstm,k4,r2,0,100,train,0.028387446245193085,0.0007343888282775879,0.01865459115881669
blstm,k4,r2,0,100,test,0.02950076241721966,0.0007899999618530273,0.018698086589574815
blstm,k4,r2,0,200,train,-0.0012526437128455026,-0.09796416759490967,0.020548031992606214
blstm,k4,r2,0,200,test,-0.020849072619027353,-0.09800088405609131,0.020239868387579917
blstm,k4,r2,0,250,train,0.004434005596029231,-0.02549123764038086,0.019191879728758656
blstm,k4,r2,0,250,test,-0.003946995542494669,-0.025682449340820312,0.0188930569216609
blstm,k4,r2,0,500,train,0.008451111780780451,-0.010268211364746094,0.018905550744887943
blstm,k4,r2,0,500,test,0.015107469910782712,-0.010207414627075195,0.018601456470787526
blstm,k5,r5,0,10,train,0.003858123535471117,-0.0018000602722167969,0.020754362309449596
blstm,k5,r5,0,10,test,-0.017997437747355016,-0.0035570859909057617,0.02108874134719372
blstm,k5,r5,0,50,train,0.011371999034151037,-0.1537015438079834,0.02393495487539392
blstm,k5,r5,0,50,test,0.015681354765768596,-0.14990615844726562,0.02417659983038902
blstm,k5,r5,0,100,train,-0.0025080182780931083,-0.07044053077697754,0.022197016367786808
blstm,k5,r5,0,100,test,0.0014484948178126178,-0.06811273097991943,0.02245587296783924
blstm,k5,r5,0,200,train,0.010875828416478217,-0.0051670074462890625,0.020880811822575493
blstm,k5,r5,0,200,test,-0.01613339105363165,-0.005600452423095703,0.021026749908924103
blstm,k5,r5,0,250,train,-0.0007308798262780775,-0.0043489933013916016,0.020865785763473123
blstm,k5,r5,0,250,test,0.0031608958441606827,-0.0038968324661254883,0.02100862469524145
blstm,k5,r5,0,500,train,0.005420854791790525,-0.020645737648010254,0.021205923897591798
blstm,k5,r5,0,500,test,-0.023203100276086408,-0.019597172737121582,0.021347442455589772
blstm,k5,r4,0,10,train,0.002038808570939382,-0.010601997375488281,0.020588263379115807
