model,landscape,replicate,cv_fold,sequence_length,data_split,pearson_r,r2,mse
transformer,gb1,r0,0,200,train,0.002770452053026652,-9.107589721679688e-05,0.15829334115116006
transformer,gb1,r0,0,200,test,0.008098437726312913,-1.2636184692382812e-05,0.14848181479058023
transformer,gb1,r0,0,250,train,-0.04298520049172794,-3.814697265625e-06,0.15827930803036588
transformer,gb1,r0,0,250,test,-0.012733804898124923,-1.823902130126953e-05,0.14848264672998654
transformer,gb1,r0,0,500,train,0.007573353367463398,-1.4662742614746094e-05,0.15828105989588886
transformer,gb1,r0,0,500,test,0.01608413771396555,-5.602836608886719e-06,0.14848076994136228
transformer,gb1,r1,0,10,train,0.8767317964701782,0.7599430680274963,0.03801744827666344
transformer,gb1,r1,0,10,test,0.87153441132645,0.7485916614532471,0.036518430523574355
transformer,gb1,r1,0,50,train,0.4985631131145591,0.24544823169708252,0.11939299221222217
transformer,gb1,r1,0,50,test,0.49028101606238855,0.23864305019378662,0.11340574771165848
transformer,gb1,r1,0,100,train,0.39212787908887176,0.1232871413230896,0.1387319322516266
transformer,gb1,r1,0,100,test,0.34644529645782185,0.1030699610710144,0.1341271477440993
transformer,gb1,r1,0,200,train,0.0012780858354491942,-6.4373016357421875e-06,0.15827969788836363
transformer,gb1,r1,0,200,test,0.018037645375386546,-1.3828277587890625e-05,0.14848198729046322
transformer,gb1,r1,0,250,train,-0.08149909238876632,-4.7206878662109375e-05,0.15828629774160874
transformer,gb1,r1,0,250,test,-0.08379546918053138,-7.152557373046875e-07,0.14848004041586893
transformer,gb1,r1,0,500,train,0.002531669722993929,-3.1828880310058594e-05,0.15828350584349063
transformer,gb1,r1,0,500,test,-0.0006462257576513863,-0.00014722347259521484,0.1485018188417968
transformer,gb1,r2,0,10,train,0.8050415941637349,0.6443511247634888,0.056332189701179154
transformer,gb1,r2,0,10,test,0.7974051483212701,0.6338936686515808,0.053308132973810034
transformer,gb1,r2,0,50,train,0.465022579470554,0.20372116565704346,0.12596674877991024
transformer,gb1,r2,0,50,test,0.45786442576176367,0.19288116693496704,0.12009818479418755
transformer,gb1,r2,0,100,train,0.6810404248767273,0.45736896991729736,0.08585617175469032
transformer,gb1,r2,0,100,test,0.6871522455429022,0.4651293158531189,0.07907308389743169
transformer,gb1,r2,0,200,train,0.11746459964669814,-7.271766662597656e-06,0.15827970426434126
transformer,gb1,r2,0,200,test,0.12470567413282108,-8.463859558105469e-05,0.14849250422695937
