model,landscape,replicate,train_regime,cv_fold,test_data,pearson_r,r2,mse_loss,train_epochs
gb,gb1,r3,M0-M2,0,M1,-0.052375614,-3.453841902,8.10E-06,
gb,gb1,r3,M0-M2,0,M2,0.553856642,0.282171262,0.003067205,
gb,gb1,r3,M0-M2,0,M3,0.385754725,0.142996128,0.070897847,
gb,gb1,r3,M0-M2,0,M4,0.282862554,0.067394971,0.161925855,
gb,gb1,r3,M0-M3,0,train,0.999852814,0.999693508,1.82E-05,
gb,gb1,r3,M0-M3,0,M1,0.137939872,-152.4656986,0.000279077,
gb,gb1,r3,M0-M3,0,M2,0.268578679,-1.923802715,0.012493095,
gb,gb1,r3,M0-M3,0,M3,0.805887326,0.623441428,0.031151775,
gb,gb1,r3,M0-M3,0,M4,0.711876801,0.503299392,0.086240872,
gb,gb1,r3,M0-M4,0,train,0.996406969,0.992489218,0.001174956,
gb,gb1,r3,M0-M4,0,M1,0.228642921,-81.54218897,0.000150103,
gb,gb1,r3,M0-M4,0,M2,0.623971654,0.173361252,0.003532139,
gb,gb1,r3,M0-M4,0,M3,0.924751477,0.853178892,0.012146153,
gb,gb1,r3,M0-M4,0,M4,0.923553709,0.84959796,0.026113926,
linear,gb1,r0,M0-M1,0,train,-0.169423288,-644.9984072,0.011382893,150
linear,gb1,r0,M0-M1,0,M1,0.387408759,-2717.312913,0.012843219,
linear,gb1,r0,M0-M1,0,M2,-0.037403043,-0.904917482,0.02610885,
linear,gb1,r0,M0-M1,0,M3,0.006493104,-0.144664362,0.099245511,
linear,gb1,r0,M0-M1,0,M4,-0.000170745,-0.110547577,0.213918326,
linear,gb1,r0,M0-M2,0,train,0.344230785,0.118355003,0.004478988,150
linear,gb1,r0,M0-M2,0,M1,0.367184284,-33.80135477,0.000164426,
linear,gb1,r0,M0-M2,0,M2,0.154856293,0.020525112,0.013424707,
linear,gb1,r0,M0-M2,0,M3,0.211720532,0.027442296,0.085129368,
linear,gb1,r0,M0-M2,0,M4,0.211031619,0.010230518,0.190624367,
linear,gb1,r0,M0-M3,0,train,0.370070471,0.136830289,0.061863213,70
linear,gb1,r0,M0-M3,0,M1,0.506261511,-588.8347191,0.002786793,
linear,gb1,r0,M0-M3,0,M2,0.337717429,-0.04933813,0.014382255,
linear,gb1,r0,M0-M3,0,M3,0.39560546,0.153907982,0.073730162,
linear,gb1,r0,M0-M3,0,M4,0.442911415,0.150078535,0.163666123,
linear,gb1,r0,M0-M4,0,train,0.43917394,0.192868218,0.123743867,27
linear,gb1,r0,M0-M4,0,M1,0.591300057,-1852.257326,0.008756088,
linear,gb1,r0,M0-M4,0,M2,0.347221836,-0.457532673,0.019976979,
linear,gb1,r0,M0-M4,0,M3,0.387855004,0.127393068,0.075481884,
linear,gb1,r0,M0-M4,0,M4,0.454391627,0.203133155,0.153443865,
linear,gb1,r1,M0-M1,0,train,-0.036445978,-394.2533201,0.007556366,17
linear,gb1,r1,M0-M1,0,M1,-0.175451484,-139.4313235,0.004383856,
linear,gb1,r1,M0-M1,0,M2,-0.06539444,-2.966020281,0.018954057,
linear,gb1,r1,M0-M1,0,M3,-0.033758249,-0.312284296,0.075888502,
linear,gb1,r1,M0-M1,0,M4,-0.005728056,-0.105712913,0.183591696,
linear,gb1,r1,M0-M2,0,train,0.223898874,0.049702946,0.015018279,150
linear,gb1,r1,M0-M2,0,M1,0.18962936,-78.71714701,0.002488537,
linear,gb1,r1,M0-M2,0,M2,0.240986549,0.040816451,0.004584046,
linear,gb1,r1,M0-M2,0,M3,0.236122959,-0.012954052,0.059110187,
linear,gb1,r1,M0-M2,0,M4,0.260670159,-0.073777946,0.178311881,
linear,gb1,r1,M0-M3,0,train,0.387578903,0.149347251,0.051116351,44
linear,gb1,r1,M0-M3,0,M1,0.081195386,-176.9336615,0.005554569,
linear,gb1,r1,M0-M3,0,M2,0.371627684,-0.572584557,0.007515559,
linear,gb1,r1,M0-M3,0,M3,0.392799141,0.153813352,0.049602204,
linear,gb1,r1,M0-M3,0,M4,0.433466835,0.132792755,0.143985879,
linear,gb1,r1,M0-M4,0,train,0.441001521,0.194452432,0.128428272,35
linear,gb1,r1,M0-M4,0,M1,-0.054441517,-400.2372458,0.012525455,
linear,gb1,r1,M0-M4,0,M2,0.357928006,-2.164434939,0.015123191,
linear,gb1,r1,M0-M4,0,M3,0.373850093,0.062492074,0.05452425,
linear,gb1,r1,M0-M4,0,M4,0.448571698,0.200831933,0.132666936,
linear,gb1,r2,M0-M1,0,train,0.295462354,-331.2067979,0.005655765,150
linear,gb1,r2,M0-M1,0,M1,-0.105983007,-321.0480368,0.007295444,
linear,gb1,r2,M0-M1,0,M2,-0.053568339,-0.53248935,0.031059539,
linear,gb1,r2,M0-M1,0,M3,0.033370118,-0.160191216,0.066099721,
linear,gb1,r2,M0-M1,0,M4,0.059405663,-0.053362555,0.18515832,
linear,gb1,r2,M0-M2,0,train,0.225824862,0.049952513,0.00518167,150
linear,gb1,r2,M0-M2,0,M1,0.107315425,-31.45110101,0.000735124,
linear,gb1,r2,M0-M2,0,M2,-0.001555904,-0.021338878,0.020699862,
linear,gb1,r2,M0-M2,0,M3,0.194886025,-0.019088928,0.057560277,
linear,gb1,r2,M0-M2,0,M4,0.175809623,-0.069161672,0.187931197,
linear,gb1,r2,M0-M3,0,train,0.373762789,0.139694089,0.032431445,69
