model,landscape,replicate,train_regime,cv_fold,test_data,pearson_r,r2,mse_loss,train_epochs
blstm,k1,r0,M0-M5,0,M3,0.998220432,0.996023205,7.05E-05,
blstm,k1,r0,M0-M5,0,M4,0.99838354,0.996434463,6.69E-05,
blstm,k1,r0,M0-M5,0,M5,0.998384967,0.996618649,6.53E-05,
blstm,k1,r0,M0-M5,0,M6,0.998047521,0.996044924,7.72E-05,
blstm,k1,r0,M0-M6,0,train,0.998175261,0.996004922,8.01E-05,19
blstm,k1,r0,M0-M6,0,M1,0.998063633,0.979666287,0.000256554,
blstm,k1,r0,M0-M6,0,M2,0.998774877,0.99161093,0.000161029,
blstm,k1,r0,M0-M6,0,M3,0.998142946,0.99374224,0.000110958,
blstm,k1,r0,M0-M6,0,M4,0.998226621,0.995369569,8.68E-05,
blstm,k1,r0,M0-M6,0,M5,0.998127425,0.995984766,7.77E-05,
blstm,k1,r0,M0-M6,0,M6,0.998036951,0.99605729,7.79E-05,
blstm,k1,r7,M0-M1,0,train,0.022284971,-0.145650715,0.012070282,16
blstm,k1,r7,M0-M1,0,M1,0.815833913,-0.587290943,0.0142242,
blstm,k1,r7,M0-M1,0,M2,0.015287645,-0.544600662,0.028951438,
blstm,k1,r7,M0-M1,0,M3,-0.060288766,-0.623593542,0.033932932,
blstm,k1,r7,M0-M1,0,M4,-0.210766332,-0.974154553,0.045052774,
blstm,k1,r7,M0-M1,0,M5,-0.239562652,-1.280353373,0.05533896,
blstm,k1,r7,M0-M1,0,M6,-0.038231963,-1.665681607,0.064678356,
blstm,k1,r7,M0-M2,0,train,0.896908518,0.802488135,0.00296788,61
blstm,k1,r7,M0-M2,0,M1,0.988268366,0.852681185,0.001320169,
blstm,k1,r7,M0-M2,0,M2,0.889814508,0.779617166,0.004130777,
blstm,k1,r7,M0-M2,0,M3,0.771302258,0.590215189,0.008564459,
blstm,k1,r7,M0-M2,0,M4,0.603168771,0.317897689,0.015566464,
blstm,k1,r7,M0-M2,0,M5,0.379131054,-0.019334801,0.024790501,
blstm,k1,r7,M0-M2,0,M6,0.130161353,-0.357694624,0.033102529,
blstm,k1,r7,M0-M3,0,train,0.996626674,0.99283682,0.000135972,79
blstm,k1,r7,M0-M3,0,M1,0.996976542,0.990604692,8.42E-05,
blstm,k1,r7,M0-M3,0,M2,0.995866477,0.989017114,0.000205859,
blstm,k1,r7,M0-M3,0,M3,0.992386252,0.984662697,0.000320548,
blstm,k1,r7,M0-M3,0,M4,0.981653035,0.963000903,0.000844368,
blstm,k1,r7,M0-M3,0,M5,0.939355823,0.881485843,0.002874668,
blstm,k1,r7,M0-M3,0,M6,0.839956039,0.703430304,0.00720699,
blstm,k1,r7,M0-M4,0,train,0.998753561,0.997436282,5.72E-05,38
blstm,k1,r7,M0-M4,0,M1,0.999778697,0.999100948,8.06E-06,
blstm,k1,r7,M0-M4,0,M2,0.99895733,0.997604953,4.49E-05,
blstm,k1,r7,M0-M4,0,M3,0.998591211,0.997150988,5.95E-05,
blstm,k1,r7,M0-M4,0,M4,0.998457442,0.996788736,7.33E-05,
blstm,k1,r7,M0-M4,0,M5,0.996974398,0.993605812,0.000155246,
blstm,k1,r7,M0-M4,0,M6,0.990015313,0.977712363,0.000537986,
blstm,k1,r7,M0-M5,0,train,0.999460893,0.998921952,2.61E-05,38
blstm,k1,r7,M0-M5,0,M1,0.999669342,0.997617065,2.14E-05,
blstm,k1,r7,M0-M5,0,M2,0.999236139,0.997996244,3.76E-05,
blstm,k1,r7,M0-M5,0,M3,0.999425675,0.998813506,2.48E-05,
blstm,k1,r7,M0-M5,0,M4,0.999453847,0.998894188,2.52E-05,
blstm,k1,r7,M0-M5,0,M5,0.999410413,0.998817908,2.88E-05,
blstm,k1,r7,M0-M5,0,M6,0.998919711,0.997792474,5.34E-05,
blstm,k1,r7,M0-M6,0,train,0.999151775,0.998169905,4.47E-05,18
blstm,k1,r7,M0-M6,0,M1,0.999478303,0.997417456,2.31E-05,
blstm,k1,r7,M0-M6,0,M2,0.999276967,0.998238216,3.30E-05,
blstm,k1,r7,M0-M6,0,M3,0.999048558,0.997942794,4.30E-05,
blstm,k1,r7,M0-M6,0,M4,0.999029276,0.997972577,4.63E-05,
blstm,k1,r7,M0-M6,0,M5,0.999080247,0.998028105,4.79E-05,
blstm,k1,r7,M0-M6,0,M6,0.999073551,0.997955376,5.04E-05,
blstm,k2,r2,M0-M1,0,train,0.589361126,0.187138731,0.010441687,29
blstm,k2,r2,M0-M1,0,M1,-0.469420486,-0.801921772,0.010740865,
