model,landscape,replicate,train position,data_split,pearson_r,r2,mse_loss,train_epochs
blstm,k0,r4,1,G,0.9988239898581345,0.6978563070297241,0.005117808934301138,
blstm,k0,r4,1,F,0.998869029218612,-0.03630399703979492,0.017720546573400497,
blstm,k0,r4,1,C,0.9993696427534096,-0.8220783472061157,0.031009208876639605,
blstm,k0,r4,1,E,0.9992942168733103,0.9199715256690979,0.0013546644186135381,
blstm,k0,r4,1,D,0.999584769224234,0.974031388759613,0.0004455533344298601,
blstm,k0,r4,2,train,0.9999154471770487,0.9997318387031555,4.937533731208532e-06,
blstm,k0,r4,2,G,0.996795636335658,0.9719039797782898,0.00050221733545186,
blstm,k0,r4,2,F,0.9966359008980489,0.6764209270477295,0.005823018262162805,
blstm,k0,r4,2,C,0.9984939694376057,-0.32970404624938965,0.02395996730774641,
blstm,k0,r4,2,E,0.9979987103832912,0.985014796257019,0.00026968458041665144,
blstm,k0,r4,2,D,0.999139621133388,0.9804242849349976,0.00035793526330962777,
blstm,k0,r4,3,train,0.9998513804785284,0.9994704127311707,9.203500894727767e-06,
blstm,k0,r4,3,G,0.9991842175491622,0.9975783228874207,4.2777593989740126e-05,
blstm,k0,r4,3,F,0.9989599162909948,0.818642795085907,0.003175509686116129,
blstm,k0,r4,3,C,0.9976809892424626,-0.16229522228240967,0.020448888186365366,
blstm,k0,r4,3,E,0.9995944113786258,0.9926869869232178,0.00012599029651028104,
blstm,k0,r4,3,D,0.9993877938910962,0.8987873792648315,0.0017803007795009762,
blstm,k0,r4,4,train,0.9995750943376119,0.9988502860069275,1.8555280348664382e-05,
blstm,k0,r4,4,G,0.9991722866961834,0.6008853912353516,0.006597061059437692,
blstm,k0,r4,4,F,0.9962050588672154,0.8095690011978149,0.0031364074675366282,
blstm,k0,r4,4,C,0.9973006419505428,0.4715149402618408,0.008746565785259008,
blstm,k0,r4,4,E,0.9993539246661487,0.8235953450202942,0.002918718208093196,
blstm,k0,r4,4,D,0.9993293808371501,0.9362171292304993,0.0010489306296221912,
blstm,k0,r4,5,train,0.9994583176532459,0.9988910555839539,1.903568454508786e-05,
blstm,k0,r4,5,G,0.9992614871838678,-0.22531986236572266,0.02104907901957631,
blstm,k0,r4,5,F,0.9989556993732305,-0.6828395128250122,0.028906152117997408,
blstm,k0,r4,5,C,0.9988006962895427,-0.7243360280990601,0.02958909049630165,
blstm,k0,r4,5,E,0.9992407849379068,0.04692065715789795,0.01637972565367818,
blstm,k0,r4,5,D,0.9991324606673092,0.7407732605934143,0.004457803559489548,
blstm,k0,r1,0,train,0.9996258364032953,0.999249279499054,1.3925486200605519e-05,
blstm,k0,r1,0,G,0.9990366796784245,0.9934489130973816,0.00013004028915020172,
blstm,k0,r1,0,F,0.9993788576338165,0.9424172043800354,0.0010606193682178855,
blstm,k0,r1,0,C,0.9989946500506824,0.9821869134902954,0.0003227761226298753,
blstm,k0,r1,0,E,0.9992030861112959,0.833487868309021,0.0030765088740736246,
blstm,k0,r1,0,D,0.998769800288825,0.9587805867195129,0.0007855612202547491,
blstm,k0,r1,1,train,0.9997865834024449,0.9995724558830261,8.554128157811647e-06,
blstm,k0,r1,1,G,0.998124992345838,0.8790309429168701,0.002451930020470172,
blstm,k0,r1,1,F,0.9991047332823139,0.9488978981971741,0.001041526484186761,
blstm,k0,r1,1,C,0.9967120984917424,0.9627987742424011,0.0007663516880711541,
blstm,k0,r1,1,E,0.9977373884508192,0.9102569818496704,0.0018293709435965866,
blstm,k0,r1,1,D,0.99748641052864,0.9790909886360168,0.00043031518725911155,
blstm,k0,r1,2,train,0.9997278964041266,0.9994276762008667,1.1508382840474951e-05,
blstm,k0,r1,2,G,0.9981856387365359,0.881669282913208,0.002385720028541982,
blstm,k0,r1,2,F,0.9989582423902518,0.9972293972969055,5.57620778636192e-05,
blstm,k0,r1,2,C,0.9974748985719035,0.9088151454925537,0.0018559392192400992,
blstm,k0,r1,2,E,0.9982496355865593,0.9937667846679688,0.00012417144171195105,
blstm,k0,r1,2,D,0.9972611336413537,0.8167678713798523,0.003728396608494222,
blstm,k0,r1,3,train,0.9997235656265904,0.9994361996650696,9.592859214535565e-06,
blstm,k0,r1,3,G,0.9917855689624728,0.982623815536499,0.00029118205566192046,
blstm,k0,r1,3,F,0.9977498067329577,0.740692138671875,0.004365587723441422,
blstm,k0,r1,3,C,0.9958506716084616,-0.5449537038803101,0.026092829182744026,
blstm,k0,r1,3,E,0.9951656169926932,0.5215921401977539,0.008052325574681163,
blstm,k0,r1,3,D,0.9968800144983625,-1.1346027851104736,0.03606761246919632,
blstm,k0,r1,4,train,0.9996904838929598,0.9991756677627563,1.4739254538653768e-05,
blstm,k0,r1,4,G,0.9983039331315131,0.532647967338562,0.008361459942534566,
blstm,k0,r1,4,F,0.9971806013757212,0.13191074132919312,0.015471968334168196,
blstm,k0,r1,4,C,0.9971935918941677,-3.8946399688720703,0.08718527294695377,
blstm,k0,r1,4,E,0.9975232549599821,-0.8951330184936523,0.033778839744627476,
blstm,k0,r1,4,D,0.995075195777875,-4.417817115783691,0.09646486304700375,
blstm,k0,r1,5,train,0.9997700765421876,0.9994329810142517,1.0490769000170985e-05,
blstm,k0,r1,5,G,0.9997517202882681,0.8631831407546997,0.002561885165050626,
blstm,k0,r1,5,F,0.9995541573205924,0.6436423659324646,0.006648885202594101,
blstm,k0,r1,5,C,0.9996697992618696,0.9137287735939026,0.0015955161943566054,
blstm,k0,r1,5,E,0.999642996079471,0.9226146340370178,0.0014374254969879985,
blstm,k0,r1,5,D,0.9996363298814184,0.9897104501724243,0.0001945590011018794,
blstm,k0,r3,0,train,0.9999159257818527,0.9997575283050537,4.788869318872457e-06,
blstm,k0,r3,0,G,0.9998782964917996,0.11396420001983643,0.01718414854258299,
blstm,k0,r3,0,F,0.9998575061149728,0.373363733291626,0.012156183132901788,
blstm,k0,r3,0,C,0.998947975106707,-0.6685738563537598,0.03237553033977747,
blstm,k0,r3,0,E,0.999861882310621,-0.6436871290206909,0.03187466412782669,
blstm,k0,r3,0,D,0.9990232320324157,0.8584017157554626,0.002749838982708752,
blstm,k0,r3,1,train,0.9996412289857142,0.9992710947990417,1.2397171190059453e-05,
blstm,k0,r3,1,G,0.9991543409728718,0.7927013635635376,0.003606375539675355,
blstm,k0,r3,1,F,0.9989054868839393,-0.031296730041503906,0.01798171829432249,
blstm,k0,r3,1,C,0.9988838154687462,0.37733960151672363,0.01090970216318965,
blstm,k0,r3,1,E,0.998692640362335,0.21024012565612793,0.01372982794418931,
blstm,k0,r3,1,D,0.99822225225902,0.9611085057258606,0.0006625245514442213,
blstm,k0,r3,2,train,0.9996341247985812,0.9991568922996521,1.6385914477723418e-05,
blstm,k0,r3,2,G,0.9990497385958964,0.8256415128707886,0.0034883906482718885,
