model,landscape,replicate,cv_fold,data_split,pearson_r,r2,mse,train_epochs
mlp,k1,r4,0,train,0.9995851103673283,0.9991238575537298,1.9987478529066338e-05,32.0
mlp,k1,r4,0,test,0.999557867089033,0.9990526958639794,2.146477308997419e-05,
mlp,k1,r0,0,train,0.9993978286750527,0.9987437795924922,2.5006030945836467e-05,21.0
mlp,k1,r0,0,test,0.9993891067557352,0.9987207064963816,2.601932137622498e-05,
mlp,k1,r7,0,train,0.9997507043446506,0.9994705676278935,1.2860445167461876e-05,26.0
mlp,k1,r7,0,test,0.9997470913606404,0.9994604836338951,1.2869432066509034e-05,
mlp,k2,r2,0,train,0.9970363665436647,0.993700417206692,0.00011457570431766247,36.0
mlp,k2,r2,0,test,0.9966521594385432,0.9928801307756394,0.00012903429160360247,
mlp,k2,r4,0,train,0.9977615201339264,0.9954936642584697,9.098330031663768e-05,45.0
mlp,k2,r4,0,test,0.9975713863246949,0.9951154071943841,9.769997268449515e-05,
mlp,k2,r0,0,train,0.99729766408856,0.9940534414344693,0.0001305150967949119,58.0
mlp,k2,r0,0,test,0.9966230170014648,0.9926832744588788,0.00015959027514327316,
mlp,k2,r7,0,train,0.9985658064231232,0.9968855997667663,6.200494757841195e-05,58.0
mlp,k2,r7,0,test,0.9984830974881658,0.9967288719325272,6.534921703860164e-05,
mlp,k3,r2,0,train,0.9684287743737161,0.9377502382715202,0.001254805761977638,73.0
mlp,k3,r2,0,test,0.9100396548321873,0.8281096834939246,0.003391318256035447,
mlp,k3,r4,0,train,0.9663467443712073,0.9336427853851464,0.0013283049124047945,57.0
mlp,k3,r4,0,test,0.9117834698379875,0.830919853935029,0.0032876490149646997,
mlp,k3,r0,0,train,0.9756135969978473,0.9512572969692855,0.0009158769971691072,74.0
mlp,k3,r0,0,test,0.9348796012051714,0.8734536578206255,0.0024055506102740763,
mlp,k3,r7,0,train,0.9709714528175639,0.9426116513292727,0.0012023432952302851,88.0
mlp,k3,r7,0,test,0.9174616826252567,0.8414029629205966,0.0033048509154468774,
mlp,k4,r2,0,train,0.7064242507078701,0.49897741376736693,0.009389604833957396,38.0
mlp,k4,r2,0,test,0.4345415896995771,0.1306753808146437,0.016299936175346374,
