model,landscape,replicate,density,cv_fold,data_split,pearson_r,r2,mse,train_epochs
cnn,k0,r2,1.0,0,train,0.999860694194746,0.9996701153105857,6.955434472681525e-06,19.0
cnn,k0,r2,1.0,0,test,0.9998592234191727,0.9996670952127795,7.149963494157419e-06,
cnn,k0,r2,0.8,0,train,0.9997382990506352,0.9993873945601289,1.2854016191946964e-05,13.0
cnn,k0,r2,0.8,0,test,0.999725347605183,0.9993721995593723,1.3446967022900935e-05,
cnn,k0,r2,0.6,0,train,0.9997730995077109,0.9994723993435243,1.1148826574340505e-05,14.0
cnn,k0,r2,0.6,0,test,0.9997784129774133,0.9994876773183449,1.1004608313669451e-05,
cnn,k0,r2,0.4,0,train,0.9992839093453593,0.9984721458953545,3.239429497625679e-05,12.0
cnn,k0,r2,0.4,0,test,0.9992523653706448,0.9983979083040184,3.4329123445786534e-05,
cnn,k0,r2,0.2,0,train,0.9995929294293694,0.9990750719121572,1.931522319864598e-05,20.0
cnn,k0,r2,0.2,0,test,0.9995514086659384,0.998994332858571,2.154866997443605e-05,
cnn,k0,r4,1.0,0,train,0.999873164524962,0.9997124233918997,6.08836978101049e-06,14.0
cnn,k0,r4,1.0,0,test,0.9998677149582976,0.9996984760776564,6.313827270787442e-06,
cnn,k0,r4,0.8,0,train,0.9997271559587041,0.999425718740303,1.2166609546208443e-05,11.0
cnn,k0,r4,0.8,0,test,0.9997017981273357,0.999368486127696,1.3200886860431637e-05,
cnn,k0,r4,0.6,0,train,0.9997868466334437,0.9995477973436292,9.61738152744312e-06,12.0
cnn,k0,r4,0.6,0,test,0.9997612217644154,0.9994909199389049,1.0744781684479677e-05,
cnn,k0,r4,0.4,0,train,0.999791748931097,0.9995336412634915,9.975477610169037e-06,18.0
cnn,k0,r4,0.4,0,test,0.9997718658049509,0.9994968129895687,1.0581982860458083e-05,
cnn,k0,r4,0.2,0,train,0.9996085590890597,0.9991746682578837,1.783491279638838e-05,16.0
cnn,k0,r4,0.2,0,test,0.9995106845521168,0.9989822797331156,2.1254271632642486e-05,
cnn,k0,r0,1.0,0,train,0.9998285053177628,0.9996429664682114,8.019098674451111e-06,21.0
cnn,k0,r0,1.0,0,test,0.9998285925010991,0.999643298737513,8.112393607007106e-06,
cnn,k0,r0,0.8,0,train,0.999749173911072,0.9994476237407376,1.2340417379164137e-05,17.0
cnn,k0,r0,0.8,0,test,0.9997480237896638,0.9994348553966331,1.2937966312165372e-05,
cnn,k0,r0,0.6,0,train,0.9997411649798315,0.999481149841346,1.1632810541910162e-05,16.0
cnn,k0,r0,0.6,0,test,0.9997412222559773,0.9994818507616305,1.1963610268139746e-05,
cnn,k0,r0,0.4,0,train,0.9997764753315493,0.9995466775703947,1.020550030261802e-05,18.0
cnn,k0,r0,0.4,0,test,0.9997657152420348,0.9995235613352021,1.0909558841376566e-05,
cnn,k0,r0,0.2,0,train,0.999661847219396,0.9992788785700732,1.5959011307131732e-05,19.0
cnn,k0,r0,0.2,0,test,0.9995994916252814,0.9991597348147464,1.9401509780436756e-05,
cnn,k0,r7,1.0,0,train,0.9996403587733133,0.9992671887816926,1.6830829113850516e-05,12.0
cnn,k0,r7,1.0,0,test,0.9996343250335612,0.9992565781179235,1.6606607823632656e-05,
cnn,k0,r7,0.8,0,train,0.999641914352039,0.9991298474500919,1.9917250028811395e-05,11.0
cnn,k0,r7,0.8,0,test,0.9996070072967703,0.9990639745037694,2.110069581249263e-05,
cnn,k0,r7,0.6,0,train,0.9997707770272493,0.9994533953434841,1.2497925540215379e-05,21.0
cnn,k0,r7,0.6,0,test,0.9997695334344978,0.9994499160935992,1.2334334496699739e-05,
cnn,k0,r7,0.4,0,train,0.9998141000075236,0.9996257859417799,8.590293418819783e-06,19.0
cnn,k0,r7,0.4,0,test,0.9998072555016141,0.9996117997118861,8.704787069291342e-06,
cnn,k0,r7,0.2,0,train,0.9989857214189016,0.9978726595186099,4.880322103417711e-05,11.0
cnn,k0,r7,0.2,0,test,0.9986795688887207,0.997204774638153,6.249540019780398e-05,
cnn,k1,r2,1.0,0,train,0.9993664599849658,0.9987258287507211,2.6937125432213132e-05,19.0
cnn,k1,r2,1.0,0,test,0.9993148280331937,0.9986263452717677,2.8888983797514813e-05,
