model,landscape,replicate,train position,data_split,pearson_r,r2,mse_loss,train_epochs
blstm,k1,r4,5,F,0.14383331202588648,-0.15223777294158936,0.021576620638370514,
blstm,k1,r4,5,C,0.15086309407405268,-0.2670668363571167,0.03149906825274229,
blstm,k1,r4,5,E,-0.1597031193128835,-0.1997232437133789,0.0321637368761003,
blstm,k1,r4,5,D,0.01398467905643841,-0.6675770282745361,0.03702091658487916,
blstm,k2,r5,0,train,0.2984602655290649,0.07828539609909058,0.017930822912603617,
blstm,k2,r5,0,G,-0.12708254985974343,-0.2656925916671753,0.02965592034161091,
blstm,k2,r5,0,F,-0.019553201659779224,-0.3136857748031616,0.02888595825061202,
blstm,k2,r5,0,C,-0.13892706159476775,-0.39983654022216797,0.025396183133125305,
blstm,k2,r5,0,E,0.05721851152345914,-0.13516724109649658,0.022580633871257305,
blstm,k2,r5,0,D,-0.1151967804161409,-0.23267269134521484,0.025777473114430904,
blstm,k2,r5,1,train,0.37974153734906335,0.08221358060836792,0.019088105531409383,
blstm,k2,r5,1,G,0.09711546645290059,-0.4632006883621216,0.028697153087705374,
blstm,k2,r5,1,F,-0.060098093959733756,-0.31031525135040283,0.0275260703638196,
blstm,k2,r5,1,C,0.02197422545104688,-0.5011605024337769,0.032889599446207285,
blstm,k2,r5,1,E,0.060152922868406594,-0.2024151086807251,0.024309749715030193,
blstm,k2,r5,1,D,0.05883975578211342,-0.531157374382019,0.030968088656663895,
blstm,k2,r5,2,train,0.3300424269163469,-0.08897054195404053,0.02182111656293273,
blstm,k2,r5,2,G,-0.09994305624326028,-0.46279048919677734,0.02841901546344161,
blstm,k2,r5,2,F,0.08134872804041438,-0.10402190685272217,0.022943381685763597,
blstm,k2,r5,2,C,0.2081449646398923,-0.21242797374725342,0.027131538838148117,
blstm,k2,r5,2,E,0.013503434867671693,-0.3900775909423828,0.02924212021753192,
blstm,k2,r5,2,D,-0.03431487001916267,-0.19976806640625,0.02329784957692027,
blstm,k2,r5,3,train,0.2945541121777491,0.0854792594909668,0.018987078685313463,
blstm,k2,r5,3,G,0.031279593840323416,-0.07351517677307129,0.02276325272396207,
blstm,k2,r5,3,F,-0.025667318857723997,-0.10562419891357422,0.022144317626953125,
